movement_variance,activity_normalized,spo2_variance,hrv_sdnn,desaturation_count,activity_level,hrv_rmssd,movement_entropy,hrv_ratio,hr_activity_ratio,fatigue_index
0.2056198765893723,0.3128576991853764,-0.8938933596265703,-0.42975283728162805,-0.05486427998899571,0.18475101041140998,-0.569622087221831,-0.49546704692980725,-0.803875922291951,-0.9970183278980336,50.772
-0.005335555984682372,0.6411800362726258,0.3284431844860126,0.051661130977776706,-0.05486427998899571,0.46368231853170505,0.6066532359371705,0.670517693285734,2.0034043381133153,-1.5149227826292444,49.624
0.16134881839144183,0.44289588379501055,0.6307237082327319,-0.05256251163508408,-0.05486427998899571,0.2676765344471735,-0.4302723973702419,-0.5195079694084782,-1.3838740689698767,-1.2195739291779746,50.636
-0.02538243019693018,0.5577359409046325,0.031118079161305736,-0.15182312364733255,-0.05486427998899571,0.38829547849919316,0.06564855768982478,0.4781903134563661,0.821420852989611,-1.3964607349514555,50.152
0.002256918683706783,0.13837248135217392,-0.37852984373045395,-0.4049376842785661,-0.05486427998899571,0.0264386463431344,-0.5122428031652944,0.8808757649741057,-0.6332307827672493,-0.6535741464098868,50.716
0.30064241865252567,0.17574976012765434,-0.7964367973257286,0.07647628398083872,-0.05486427998899571,0.0565933823561391,0.618948796806428,1.3857351370261963,1.9454223695423423,-0.7320264359695764,49.612
0.030760521264337502,-0.0372258588651849,-0.16709865772180138,-0.08234069523875863,-0.05486427998899571,-0.14695108573164387,-0.31551382925716875,1.2595202940131742,-0.8736800445133888,-0.24265324889853895,50.524
0.23065264491112328,0.3701935126418278,0.18969146866780834,-0.2213055520559065,-0.05486427998899571,0.1922896944146612,-0.057307051002753684,0.38202662354168215,0.6069460395456793,-1.0983020232534915,50.272
-0.002381032023250987,0.17290435082318667,-0.32071662880625723,-0.8317583159312341,-0.05486427998899571,0.06413206635939034,-0.8811096292430299,0.8808757649741057,-0.7791753019194432,-0.7261540636199625,51.076
-0.09986444661368292,0.3387138752035595,-0.1076336366568715,-0.37019647007427897,-0.05486427998899571,0.18475101041140998,-0.2622330654903847,0.38202662354168215,0.34509574498307466,-1.0433382092690997,50.472
0.008796852025895235,0.33021478483844924,0.2342902344665108,-0.07737766463814631,-0.05486427998899571,0.20736706242116368,0.13942192290537178,-0.05070998107439546,0.8170433808576716,-1.0282315643307738,50.08
